StationName,StationID,Long,Lat,Elevation
ABADAN,40831.0,48.2147222222222,30.3772222222222,6.6
ABADCHI-FARIDAN,19264.0,50.6831,32.7167,2100.0
ABADE TASHK,19689.0,53.72,29.8,1601.0
ABADEH,40818.0,52.61638889,31.19833333,2030.0
ABALI,40755.0,51.88333333,35.75,2465.0
ABARDEJ,18854.0,51.7994,35.2167,900.0
ABARKOH,19545.0,53.2831,31.1331,1506.0
ABARKUH,99539.0,53.22722222,31.12,1523.8
ABBAR,18297.0,48.9667,36.9331,728.0
ABBAR,99298.0,48.9408,36.9339,624.7
ABDANAN,99488.0,47.4225,32.99611111,920.0
ABHAR,18541.0,49.22,36.18,1552.0
ABKHIZDARI- ZAYANDEHROUD,19281.0,50.72,32.67,2100.0
ABPAKHSH,19749.0,51.03,29.22,46.0
ABRAHIMABAD MEHRIZ,19452.0,54.3333,31.65,1630.0
ABUMUSA ISLAND,40890.0,55.01333333,25.87416667,6.6
ABYANEH,19136.0,51.58,33.57,2234.0
ABYEK,99368.0,50.53833333,36.01944444,1226.0
ADL DEZAK,19391.0,50.95,32.08,2054.0
AFRACHAL,18516.0,53.25,36.2333,723.0
AGHAJARI,99538.0,49.82805556,30.69666667,143.0
AGHGHALEH,18280.0,54.4331,37.0167,-10.0
AGH_TOGHEH,18082.0,55.72,37.9,250.0
AHAR,40704.0,47.06666667,38.43333333,1391.0
AHMAD ABAD,18694.0,56.6,35.77,980.0
AHRAM,19865.0,51.27,28.88,57.0
AHVAZ,40811.0,48.7442,31.3442,22.5
AHVAZ (AGRICULTURAL),99535.0,48.55,31.25,12.0
AJABSHIR,99236.0,45.85,37.5,1311.0
ALASHT,99361.0,52.8425,36.0719,1805.0
ALASHTAR,40776.0,48.24527778,33.82472222,1567.1
ALAVIJEH,19199.0,50.17,33.17,1680.0
ALI ABADE KAMIN,19653.0,53.15,30.02,1892.0
ALIABAD ZAREIN,19262.0,58.9,32.19,1239.0
ALIABAD-E-KATUL,99300.0,54.88333333,36.9,184.0
ALIABADE PISHKOOH,19449.0,53.8333,31.65,2372.0
ALIGUDARZ,40783.0,49.7025,33.4081,2022.1
AMANABAD,19060.0,49.9283,34.0047,1728.0
AMIN ABAD,18761.0,51.66,35.57,1046.0
AMIR KABIR,19548.0,48.3,31.1,7.0
AMIRIEH,18577.0,54.2,36.08,1170.0
AMLASH,18261.0,50.17,37.1,40.0
AMOL,99309.0,52.38333333,36.46666667,23.7
ANAR,40839.0,55.25,30.88333333,1409.0
ANBARABAD,19863.0,57.85,28.48,610.0
AQDA,40804.0,53.64166667,32.445,1150.0
ARADAN,18822.0,52.42,35.25,964.0
ARAK,40769.0,49.78333333,34.07194444,1702.8
ARAK (AIRPORT),88132.0,49.83944444,34.13277778,1661.9
ARAN BIDGOL,19048.0,51.47,34.03,934.0
ARAN SHAR(SEDEH),19178.0,59.23,33.66,1600.0
ARASK,19120.0,57.37,33.71,1137.0
ARDAKAN,19352.0,54.03,32.29,1048.0
ARDAL,99518.0,50.65861111,32.005,1873.0
ARDEBIL,40708.0,48.32861111,38.21805556,1314.3
ARDEBIL (AIRPORT),88107.0,48.41583333,38.33055556,1335.2
ARDESTAN,40799.0,52.37555556,33.35555556,1255.5
ARMAGHANKHANEH,18282.0,48.37,36.97,1946.0
ARSANJAN,99579.0,53.28333333,29.93333333,1676.0
ARSANJHON,19673.0,53.3167,29.9167,1690.0
ASAD ABAAD,18742.0,59.35,35.65,1770.0
ASADABAD,99422.0,48.11666667,34.76666667,1552.0
ASADABAD-BIRJAND,19240.0,60.0167,32.9167,1500.0
ASALUYEH (AIRPORT),88188.0,52.61638889,27.48472222,7.0
ASARA,18590.0,51.19,36.04,1864.0
ASBE VOONI,18131.0,48.77,37.62,1450.0
ASHKZAR,19408.0,54.19,31.01,1165.0
ASHTIYAN,99410.0,50.012463,34.518575,2097.0
ASTANE ASHRAFIYE,18221.0,49.93,37.29,-20.0
ASTARA,40709.0,48.85472222,38.365,-21.1
AVAJ,99310.0,49.2167,35.5667,2034.9
AVERGAN,19424.0,50.95,31.9,2410.0
AVIHANG,18840.0,46.68,35.25,1630.0
AZARSHAHR,18113.0,45.9833,37.75,1367.0
AZBERAM,18253.0,49.92,37.14,50.0
AZNA,99445.0,49.40805556,33.44722222,1871.8
BAAR,18439.0,58.7,36.48,1520.0
BABARASHANI,18728.0,47.79,35.68,1662.0
BABOLKENAR,18420.0,52.72,36.35,91.0
BABOLSAR,40736.0,52.65305556,36.72,-21.0
BADIJAN,19211.0,50.33,33.08,2300.0
BADRABAD (LORESTAN),99475.0,48.27944444,33.43388889,1154.8
BADREH,19184.0,47.03,33.31,1064.0
BAFQ,40820.0,55.42083333,31.62888889,991.3
BAFT,40853.0,56.58333333,29.23333333,2280.0
BAGH KOSAR,18581.0,50.38,36.07,1365.0
BAGHESTAN,18758.0,56.78,35.6,1242.0
BAGHMALEK,19478.0,49.88,31.53,710.0
BAHABAD,19428.0,56.0167,31.8667,1403.0
BAHABAD,99522.0,56.04611111,31.84111111,1436.0
BAHADORAN,19518.0,54.92,31.32,1460.0
BAHAR,18895.0,48.45,34.9,1743.0
BAHARESTAN,18744.0,47.1,35.63,2070.0
BAHOOKALAT,19996.0,61.42,25.7,120.0
BAJESTAN,18966.0,58.1831,34.5167,1260.0
BAJESTAN,99436.0,58.1592,34.5,1293.0
BAJGAH,19686.0,52.59,29.73,1791.0
BAKHEZR,18890.0,60.52,35.0,1281.0
BALADEH,99357.0,51.8,36.2,2120.0
BALAN,19243.0,52.73,32.85,2110.0
BAM,40854.0,58.35,29.1,1067.0
BAM (AIRPORT),88179.0,58.45194444,29.07861111,940.0
BAMPOOR,19947.0,60.45,27.2,515.0
BAND PAY SHAYADEH,18488.0,52.553,36.317,213.0
BANDAN,19516.0,60.73,31.38,726.0
BANDAR TORKAMAN,18313.0,54.0497,36.8831,-20.0
BANDAR-E- MAHSHAHR,40832.0,49.15916667,30.54555556,6.2
BANDAR-E-AMIRABAD,99306.0,53.38638889,36.85611111,-20.0
BANDAR-E-ANZALI,40718.0,49.4575,37.47972222,-23.6
BANDAR-E-DAYYER,40872.0,51.93333333,27.83333333,4.0
BANDAR-E-DEYLAM,40846.0,50.16666667,30.05027778,3.0
BANDAR-E-GAZ,99304.0,53.95,36.76666667,-14.0
BANDAR-E-GENAVEH,99594.0,50.5081,29.5592,4.3
BANDAR-E-KHAMIR,99674.0,55.57083333,26.95166667,27.0
BANDAR-E-LENGEH,40883.0,54.82833333,26.52833333,22.7
BANDAR-E-LENGEH (COASTAL),99688.0,54.89722222,26.56527778,6.4
BANDAR-E-SIRIK,99686.0,57.08333333,26.5,2.0
BANDAR-E-TORKAMAN,99242.0,54.06666667,36.9,0.0
BANDARABBAS,40875.0,56.3728,27.2142,9.8
BANEH,99280.0,45.89555556,36.00666667,1600.0
BARDESKAN,99356.0,57.96666667,35.26666667,985.0
BARDIS,19668.0,56.57,29.95,2050.0
BARDSIR,99576.0,56.57,29.94,2050.0
BAREKAT,18622.0,50.855556,35.919444,1455.0
BARI,18087.0,45.22,37.03,1347.0
BARKHAN SOU,19183.0,51.68,32.7,2102.0
BAROOTAGHACHI,18407.0,48.3333,36.5667,2010.0
BARZOK,19100.0,51.22,33.8,2200.0
BASH GHESHLAGH,18589.0,48.08,36.04,1580.0
BASTAK,99666.0,54.35,27.21666667,382.0
BASTAM,18437.0,55.0,36.48,1366.0
BAVANAT,99561.0,53.60944444,30.47583333,2232.0
BAYAZEH,19176.0,55.0989,33.3374,916.0
BAZMAN,99649.0,60.183,27.85,957.0
BEHBAHAN,40834.0,50.21722222,30.60555556,313.0
BEHREGAN,88172.0,50.27166667,29.83805556,1432.0
